,com.apple.calculator,Calculator,Apple
,com.apple.store.Jolly,Apple Store,
,com.apple.AppStore,App Store,
,com.apple.iBooks,iBooks,
,com.apple.mobilecal,Calendar,
,com.apple.camera,Camera,
,com.apple.clips,Clips,
,com.apple.mobiletimer,Clock,
,com.apple.BarcodeScanner,Code Scanner,
,com.apple.compass,Compass,
,com.apple.MobileAddressBook,Contacts,
,com.apple.facetime,FaceTime,
,com.apple.DocumentsApp,Files,
,com.apple.findmy,Find My,
,com.apple.Fitness,Fitness,
,com.apple.freeform,Freeform,
,com.apple.mobilegarageband,GarageBand,
,com.apple.Health,Health,
,com.apple.Home,Home,
,com.apple.iCloudDriveApp,iCloud Drive,
,com.apple.iMovie,iMovie,
,com.apple.MobileStore,iTunes Store,
,com.apple.Keynote,Keynote,
,com.apple.Magnifier,Magnifier,
,com.apple.mobilemail,Mail,
,com.apple.Maps,Maps,
,com.apple.measure,Measure,
,com.apple.MobileSMS,Messages,
,com.apple.Music,Music,
,com.apple.news,News,
,com.apple.mobilenotes,Notes,
,com.apple.Numbers,Numbers,
,com.apple.Pages,Pages,
,com.apple.mobilephone,Phone,
,com.apple.Photo-Booth,Photo Booth,
,com.apple.mobileslideshow,Photos,
,com.apple.podcasts,Podcasts,
,com.apple.reminders,Reminders,
,com.apple.mobilesafari,Safari,
,com.apple.shortcuts,Shortcuts,
,com.apple.stocks,Stocks,
,com.apple.Playgrounds,Swift Playgrounds,
,com.apple.tips,Tips,
,com.apple.Translate,Translate,
,com.apple.tv,TV,
,com.apple.VoiceMemos,Voice Memos,
,com.apple.Passbook,Wallet,
,com.apple.Bridge,Watch,
,com.apple.weather,Weather,